,mascot_name,phase_id,video_context,Hit_Rate
9515,OnoJoe,recog_random,suburban-area,0.4214876033057851
9516,Fukaya,recog_random,exercise-class,0.45935960591133007
9517,OnoJoe,recog_random,driveway-infront-of-building,0.4956521739130435
9518,Fukaya,recog_random,speech,0.27956989247311825
9519,Barasai,recog_random,caligraphy,0.3670886075949367
9520,Barasai,recog_random,announcers,0.4075342465753425
9521,OnoJoe,recog_random,on-stage-2,0.256198347107438
9522,OnoJoe,recog_random,weird-interviewer,0.38524590163934425
9523,Barasai,recog_random,dance-with-green-performers,0.4098360655737705
9524,Shimanekko,recog_random,water-lookout,0.36633663366336633
9525,Barasai,recog_random,stage-dance-with-children,0.33043478260869563
9526,Fukaya,recog_random,CPR,0.4112903225806452
9527,OnoJoe,recog_random,dance-in-front-of-white-tents,0.20535714285714285
9528,Fukaya,recog_random,gym,0.5070422535211268
9529,Fukaya,recog_random,sitting-at-craft-table,0.5588235294117647
9530,OnoJoe,recog_random,grey-brick-building,0.39344262295081966
9531,Shimanekko,recog_random,back-porch,0.391304347826087
9532,Shimanekko,recog_random,fields,0.3047619047619048
9533,Shimanekko,recog_random,library,0.5619047619047619
9534,Barasai,recog_random,peace-sign,0.2682926829268293
9535,OnoJoe,recog_random,on-stage-3,0.4918032786885246
9536,Shimanekko,recog_random,museum,0.2336448598130841
9537,Shimanekko,recog_random,beach,0.38911290322580644
9538,Barasai,recog_random,mall,0.47107438016528924
9539,Barasai,recog_random,park,0.3371824480369515
9540,OnoJoe,recog_random,interview,0.35275080906148865
9541,Shimanekko,recog_random,outside-house,0.3076923076923077
9542,Barasai,recog_random,announcers,0.4075342465753425
9543,Barasai,recog_random,announcers,0.4075342465753425
9544,Fukaya,recog_random,dancing,0.34854771784232363
9545,Chiba-kun,recog_ordered,workout,0.24675324675324675
